STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/19/2020,59,"H,,S",65,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/20/2020,58,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/21/2020,50,"H,,S",61,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/22/2020,57,"H,,S",61,",,S",54,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/23/2020,58,"H,,S",63,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/24/2020,60,"H,,S",76,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/25/2020,64,"H,,S",77,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/26/2020,62,"H,,S",71,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/27/2020,54,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/28/2020,53,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/29/2020,60,"H,,S",,,48,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,4/30/2020,57,"H,,S",68,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/1/2020,58,"H,,S",66,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/2/2020,63,"H,,S",72,",,S",58,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/3/2020,66,"H,,S",,,55,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/4/2020,69,"H,,S",81,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/5/2020,69,"H,,S",77,",,S",62,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/6/2020,68,"H,,S",,,56,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/7/2020,67,"H,,S",80,",,S",55,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/8/2020,68,"H,,S",77,",,S",61,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/9/2020,65,"H,,S",,,60,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/10/2020,60,"H,,S",65,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/11/2020,53,"H,,S",,,,
